legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
CSB3-1A-switch1.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch1.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/3,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/4,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/7,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/12,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/13,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/14,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/19,76,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/21,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,FastEthernet0/22,75,,
CSB3-1A-switch1.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CARE-ORC-DN1-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/21
CSB3-1A-switch1.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-1A-switch2.xcmmc.nhs.uk,Gig 0/1
CSB3-1A-switch2.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch2.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch2.xcmmc.nhs.uk,FastEthernet0/1,75,,
CSB3-1A-switch2.xcmmc.nhs.uk,FastEthernet0/4,75,,
CSB3-1A-switch2.xcmmc.nhs.uk,FastEthernet0/7,75,,
CSB3-1A-switch2.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CSB3-1A-switch1.xcmmc.nhs.uk,Gig 0/2
CSB3-1A-switch2.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-1A-switch3.xcmmc.nhs.uk,Gig 0/1
CSB3-1A-switch3.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch3.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch4.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch4.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/1,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/3,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/8,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/9,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/10,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/12,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/13,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/15,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/18,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/20,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,FastEthernet0/22,76,,
CSB3-1A-switch4.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CSB3-1A-switch3.xcmmc.nhs.uk,Gig 0/2
CSB3-1A-switch4.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-1A-switch5.xcmmc.nhs.uk,Gig 0/1
CSB3-1A-switch5.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch5.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/1,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/4,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/6,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/7,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/8,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/11,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/16,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/17,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/18,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/20,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/21,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/22,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/23,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,FastEthernet0/24,76,,
CSB3-1A-switch5.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CSB3-1A-switch4.xcmmc.nhs.uk,Gig 0/2
CSB3-1A-switch5.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-1A-SWITCH7.xcmmc.nhs.uk,Gig 0/2
CSB3-1A-switch6.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch6.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/7,76,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/9,76,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/10,76,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/12,76,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/16,76,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/22,76,,
CSB3-1A-switch6.xcmmc.nhs.uk,FastEthernet0/24,254,,
CSB3-1A-switch6.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CARE-ORC-DN2-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/32
CSB3-1A-switch6.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-1A-SWITCH7.xcmmc.nhs.uk,Gig 0/1
CSB3-1A-switch7.xcmmc.nhs.uk,Vlan1,,,
CSB3-1A-switch7.xcmmc.nhs.uk,Vlan255,,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/10,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/12,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/20,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/21,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/22,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/23,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,FastEthernet0/24,75,,
CSB3-1A-switch7.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CSB3-1A-switch6.xcmmc.nhs.uk,Gig 0/2
CSB3-1A-switch7.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CSB3-1A-switch5.xcmmc.nhs.uk,Gig 0/2
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,Vlan252,,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/1,713,CSB3-1-1A-AP01.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/2,713,CSB3-1-1A-AP03.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/3,713,CSB3-1-1A-AP04.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/4,713,CSB3-1-1A-AP06.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/5,713,CSB3-1-1A-AP09.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/6,713,CSB3-1-1A-AP11.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/7,713,CSB3-0-1A-AP02.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/8,713,CSB3-0-1A-AP05.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/9,713,CSB3-0-1A-AP07.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/10,713,CSB3-0-1A-AP08.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/11,713,CSB3-0-1A-AP10.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/12,713,CSB3-0-1A-AP12.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/13,713,CSB3-0-1A-AP13-EXT.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/14,713,CSB3-1-1A-AP13-EXT.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/16,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/18,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet1/0/28,trunk,CARE-ORC-DN2-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/46
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/1,713,CSB3-1-1A-AP02.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/2,713,CSB3-1-1A-AP05.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/3,713,CSB3-1-1A-AP07.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/4,713,CSB3-1-1A-AP08.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/5,713,CSB3-1-1A-AP10.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/6,713,CSB3-1-1A-AP12.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/7,713,CSB3-0-1A-AP01.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/8,713,CSB3-0-1A-AP03.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/9,713,CSB3-0-1A-AP04.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/10,713,CSB3-0-1A-AP06.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/11,713,CSB3-0-1A-AP09.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/12,713,CSB3-0-1A-AP11.xcmmc.nhs.uk,Gig 0
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/16,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/18,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/24,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet2/0/28,trunk,CARE-ORC-DN1-DST-03.xcmmc.nhs.uk,TwentyFiveGigE1/0/28
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/3,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/8,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/9,75,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/10,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/12,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/13,75,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/19,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/20,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/21,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/23,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/27,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/29,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/30,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/31,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/32,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/33,74,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/34,74,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/35,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/37,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/40,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/46,74,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/47,74,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet3/0/48,74,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/4,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/9,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/11,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/12,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/15,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/24,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/29,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/30,76,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/31,77,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/32,72,,
CEN-CSB3-1A-ACCSW-STK.xcmmc.nhs.uk,GigabitEthernet4/0/33,76,,
