legacy_switch,interface,vlan_id,neighbor_name,neighbor_interface
OSM-0A-Swicth03.xcmmc.nhs.uk,Vlan1,,,
OSM-0A-Swicth03.xcmmc.nhs.uk,Vlan254,,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/1,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/2,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/5,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/10,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/12,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/15,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/25,196,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/30,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/31,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/32,173,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/33,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/34,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/35,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/36,73,,
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/47,trunk,OSM-0A-Swicth04.xcmmc.nhs.uk,Gig 1/0/48
OSM-0A-Swicth03.xcmmc.nhs.uk,GigabitEthernet1/0/48,trunk,CEN-OSM-0-ACCSW-STK.xcmmc.nhs.uk,Gig 2/0/24
OSM-0A-Swicth04.xcmmc.nhs.uk,Vlan1,,,
OSM-0A-Swicth04.xcmmc.nhs.uk,Vlan252,,,
OSM-0A-Swicth04.xcmmc.nhs.uk,Vlan254,,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/1,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/4,173,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/5,173,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/6,173,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/8,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/13,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/14,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/25,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/26,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/27,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/33,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/35,173,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/38,173,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/40,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/42,73,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/47,173,,
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/48,trunk,OSM-0A-Swicth03.xcmmc.nhs.uk,Gig 1/0/47
OSM-0A-Swicth04.xcmmc.nhs.uk,GigabitEthernet1/0/52,trunk,CARE-ORC-DN2-DST-02.xcmmc.nhs.uk,TwentyFiveGigE1/0/2
OSM-0A-Swicth01.xcmmc.nhs.uk,Vlan1,,,
OSM-0A-Swicth01.xcmmc.nhs.uk,Vlan254,,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/4,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/7,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/8,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/10,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/12,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/13,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/14,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/16,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/17,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/19,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/20,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/22,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,FastEthernet0/24,173,,
OSM-0A-Swicth01.xcmmc.nhs.uk,GigabitEthernet0/1,trunk,CARE-ORC-DN1-DST-01.xcmmc.nhs.uk,TwentyFiveGigE1/0/48
OSM-0A-Swicth01.xcmmc.nhs.uk,GigabitEthernet0/2,trunk,CEN-OSM-0-ACCSW-STK.xcmmc.nhs.uk,Gig 1/0/24
